URL;Label;Class;Importation;Wiki;Dbpedia;Web;Définition;Synonyme;Voir;JLMonfort
http://isi.cbs.nl/glossary/term568.htm;arbres de classification et de régression;ArbresDeClassificationEtDeRegression;Non;;;;;;;
http://isi.cbs.nl/glossary/term2716.htm;arrangement au hasard;ArrangementAuHasard;Non;;;;;;;
http://isi.cbs.nl/glossary/term2845.htm;arrangement au hasard restreint;ArrangementAuHasardRestreint;Non;;;;;;;
http://isi.cbs.nl/glossary/term859.htm;arrêt (d'une analyse séquentielle);ArretDuneAnalyseSequentielle;Non;;;;;;;
http://isi.cbs.nl/glossary/term1202.htm;échantillonnage;Echantillonnage;Procedure;;;;Consitution de l'échantillon;;;http://jeanalain.monfort.free.fr/Dicostat2005/E/Echantillonnage.pdf
http://isi.cbs.nl/glossary/term2879.htm;arrondissement;Arrondissement;Non;;;;;;;
http://isi.cbs.nl/glossary/term161.htm;association;Association;Non;;;;;;;
http://isi.cbs.nl/glossary/term1577.htm;association illusoire;AssociationIllusoire;Non;;;;;;;
http://isi.cbs.nl/glossary/term2414.htm;association partielle;AssociationPartielle;Non;;;;;;;
http://isi.cbs.nl/glossary/term3045.htm;échelle;Echelle;Concept;;;;;;;http://jeanalain.monfort.free.fr/Dicostat2005/E/Echelle.pdf
http://isi.cbs.nl/glossary/term2535.htm;asymétrie positive;AsymetriePositive;Non;;;;;;;
http://isi.cbs.nl/glossary/term182.htm;atome;Atome;Non;;;;;;;
http://isi.cbs.nl/glossary/term184.htm;atténuation;Attenuation;Non;;;;;;;
http://isi.cbs.nl/glossary/term187.htm;attribut;Attribut;Non;;;;;;;
http://isi.cbs.nl/glossary/term1064.htm;attribution dynamique de traitement;AttributionDynamiqueDeTraitement;Non;;;;;;;
http://isi.cbs.nl/glossary/term190.htm;autocorrélation;Autocorrelation;Non;;;;;;;
http://isi.cbs.nl/glossary/term2423.htm;autocorrélation partielle;AutocorrelationPartielle;Non;;;;;;;
http://isi.cbs.nl/glossary/term193.htm;autocovariance;Autocovariance;Non;;;;;;;
http://isi.cbs.nl/glossary/term199.htm;autorégression;Autoregression;Non;;;;;;;
http://isi.cbs.nl/glossary/term209.htm;auto-spectre;AutoSpectre;Non;;;;;;;
http://isi.cbs.nl/glossary/term399.htm;aveuglement;Aveuglement;Non;;;;;;;
http://isi.cbs.nl/glossary/term1219.htm;axe;Axe;Non;;;;;;;
http://isi.cbs.nl/glossary/term1087.htm;élimination;Elimination;Procedure;;;;;;;
http://isi.cbs.nl/glossary/term1348.htm;élimination de Gauss;EliminationDeGauss;Procedure;;;;;;;
http://isi.cbs.nl/glossary/term2725.htm;étendue;Etendue;Concept;;;;;;;http://jeanalain.monfort.free.fr/Dicostat2005/E/Etendue.pdf
http://isi.cbs.nl/glossary/term1685.htm;étendue interquartile;EtendueInterquartile;Concept;;;;;EcartInterquartile;;http://jeanalain.monfort.free.fr/Dicostat2005/D/Deviation_interquartile.pdf
http://isi.cbs.nl/glossary/term1138.htm;bande d'erreur;BandeDerreur;Non;;;;;;;
http://isi.cbs.nl/glossary/term3367.htm;bandit à deux bras;BanditADeuxBras;Non;;;;;;;
http://isi.cbs.nl/glossary/term1165.htm;événement;Evenement;Concept;;;;;;;http://jeanalain.monfort.free.fr/Dicostat2005/E/Evenement.pdf
http://isi.cbs.nl/glossary/term16.htm;barrière absorbante;BarriereAbsorbante;Non;;;;;;;
http://isi.cbs.nl/glossary/term261.htm;base;Base;Non;;;;;;;
http://isi.cbs.nl/glossary/term881.htm;base de données;BaseDeDonnees;Non;;;;;;;
http://isi.cbs.nl/glossary/term1301.htm;base de sondage;BaseDeSondage;Non;;;;;;;
http://isi.cbs.nl/glossary/term2907.htm;base de sondage;BaseDeSondage;Non;;;;;;;
http://isi.cbs.nl/glossary/term272.htm;batterie de tests;BatterieDeTests;Non;;;;;;;
http://isi.cbs.nl/glossary/term3509.htm;batterie pondérée;BatteriePonderee;Non;;;;;;;
http://isi.cbs.nl/glossary/term3509.htm;batterie pondérée de tests;BatteriePondereeDeTests;Non;;;;;;;
http://isi.cbs.nl/glossary/term289.htm;BCa intervalle de confiance;BcaIntervalleDeConfiance;Non;;;;;;;
http://isi.cbs.nl/glossary/term300.htm;Berkeley Madonna;BerkeleyMadonna;Non;;;;;;;
http://isi.cbs.nl/glossary/term2701.htm;événement aléatoire;EvenementAleatoire;Concept;;;;;;Evenement;
http://isi.cbs.nl/glossary/term2630.htm;biais de publication;BiaisDePublication;Non;;;;;;;
http://isi.cbs.nl/glossary/term2949.htm;biais de sélection;BiaisDeSelection;Non;;;;;;;
http://isi.cbs.nl/glossary/term3085.htm;biais de spécification;BiaisDeSpecification;Non;;;;;;;
http://isi.cbs.nl/glossary/term3506.htm;biais dû à la pondération;BiaisDûALaPonderation;Non;;;;;;;
http://isi.cbs.nl/glossary/term3460.htm;biais dû à l'amour propre;BiaisDûALamourPropre;Non;;;;;;;
http://isi.cbs.nl/glossary/term3381.htm;biais dû au type de formule utilisée (indices);BiaisDûAuTypeDeFormuleUtiliseeIndices;Non;;;;;;;
http://isi.cbs.nl/glossary/term1652.htm;biais inhérent;BiaisInherent;Non;;;;;;;
http://isi.cbs.nl/glossary/term1691.htm;biais lié à l'enquêteur;BiaisLieALenqueteur;Non;;;;;;;
http://isi.cbs.nl/glossary/term1041.htm;biais par défaut;BiaisParDefaut;Non;;;;;;;
http://isi.cbs.nl/glossary/term3450.htm;biais par excès;BiaisParExces;Non;;;;;;;
http://isi.cbs.nl/glossary/term3381.htm;biais type;BiaisType;Non;;;;;;;
http://isi.cbs.nl/glossary/term1041.htm;biais vers le bas;BiaisVersLeBas;Non;;;;;;;
http://isi.cbs.nl/glossary/term2696.htm;bifurcation aléatoire;BifurcationAleatoire;Non;;;;;;;
http://isi.cbs.nl/glossary/term357.htm;bioinformatique;Bioinformatique;Non;;;;;;;
http://isi.cbs.nl/glossary/term359.htm;biostatistique;Biostatistique;Non;;;;;;;
http://isi.cbs.nl/glossary/term1441.htm;plan réparti en groupes;planRepartiEnGroupes;Non;;;;;;;
http://isi.cbs.nl/glossary/term372.htm;bispectre;Bispectre;Non;;;;;;;
http://isi.cbs.nl/glossary/term400.htm;bloc;Bloc;non;;;;;;;
http://isi.cbs.nl/glossary/term3149.htm;bloc équivalente statistique;BlocEquivalenteStatistique;non;;;;;;;
http://isi.cbs.nl/glossary/term1596.htm;bloc incomplet;BlocIncomplet;non;;;;;;;
http://isi.cbs.nl/glossary/term239.htm;bloc incomplet équilibré;BlocIncompletEquilibre;non;;;;;;;
http://isi.cbs.nl/glossary/term2425.htm;bloc incomplet partiellement équilibré;BlocIncompletPartiellementEquilibre;non;;;;;;;
http://isi.cbs.nl/glossary/term2718.htm;blocs aléatorisés;BlocsAleatorises;non;;;;;;;
http://isi.cbs.nl/glossary/term2718.htm;blocs avec répartition au hasard;BlocsAvecRepartitionAuHasard;non;;;;;;;
http://isi.cbs.nl/glossary/term1930.htm;blocs en chaîne;BlocsEnChaine;non;;;;;;;
http://isi.cbs.nl/glossary/term1930.htm;blocs liés;BlocsLies;non;;;;;;;
http://isi.cbs.nl/glossary/term2718.htm;blocs randomisés;BlocsRandomises;non;;;;;;;
http://isi.cbs.nl/glossary/term3343.htm;blocs triangulaires liés;BlocsTriangulairesLies;non;;;;;;;
http://isi.cbs.nl/glossary/term406.htm;BMDP;Bmdp;Non;;;;;;;
http://isi.cbs.nl/glossary/term424.htm;boîte à pattes;BoiteAPattes;Non;;;;;;;
http://isi.cbs.nl/glossary/term2683.htm;bordereau;Bordereau;Non;;;;;;;
http://isi.cbs.nl/glossary/term3155.htm;branche à feuilles;BrancheAFeuilles;Non;;;;;;;
http://isi.cbs.nl/glossary/term2694.htm;aléatoire (adj.);Aleatoire;Propriete;https://fr.wiktionary.org/wiki/al%C3%A9atoire;http://fr.dbpedia.org/page/Al%C3%A9atoire;;;;;http://jeanalain.monfort.free.fr/Dicostat2005/A/Aleatoire.pdf
http://isi.cbs.nl/glossary/term3515.htm;bruit blanc;BruitBlanc;Non;;;;;;;
http://isi.cbs.nl/glossary/term2279.htm;bruit de fond;BruitDeFond;Non;;;;;;;
http://isi.cbs.nl/glossary/term3515.htm;bruit de fond blanc;BruitDeFondBlanc;Non;;;;;;;
http://isi.cbs.nl/glossary/term3002.htm;bruit impulsionnel;BruitImpulsionnel;Non;;;;;;;
http://isi.cbs.nl/glossary/term1480.htm;cadran harmonique;CadranHarmonique;Non;;;;;;;
http://isi.cbs.nl/glossary/term25.htm;calcul de racines caractéristiques d'une matrice à partir d'une puissance de cette matrice;CalculDeRacinesCaracteristiquesDuneMatriceAPartirDunePuissanceDeCetteMatrice;Non;;;;;;;
http://isi.cbs.nl/glossary/term3144.htm;calcul statistique;CalculStatistique;Non;;;;;;;
http://isi.cbs.nl/glossary/term946.htm;calculateur;Calculateur;Non;;;;;;;
http://isi.cbs.nl/glossary/term111.htm;calculateur analogique;CalculateurAnalogique;Non;;;;;;;
http://isi.cbs.nl/glossary/term946.htm;calculateur digital;CalculateurDigital;Non;;;;;;;
http://isi.cbs.nl/glossary/term946.htm;calculateur numérique;CalculateurNumerique;Non;;;;;;;
